CustomerNo,Recency,Frequency,Monetary
13894,24,4,13449.869999999999
13895,29,4,16528.52
13896,242,1,27.36
13897,51,1,2299.56
13898,65,2,8857.76
13899,17,2,1802.62
13900,142,4,5128.45
13901,73,6,20973.73
13904,38,2,3743.58
13906,312,1,6911.11
13908,80,4,17477.29
13914,12,2,3156.39
13916,39,1,186.89
13917,50,2,2615.5
13918,50,2,12929.92
13919,60,2,5195.42
13922,352,1,1129.72
13923,54,2,13041.5
13924,2,6,13751.0
13925,93,4,4087.53
13926,24,1,1295.26
13927,75,1,2303.44
13928,11,5,1683.76
13929,170,2,2329.36
13930,58,2,3153.7799999999997
13931,96,2,7835.32
13932,295,1,1052.85
13933,110,2,2725.2
13934,264,1,4942.39
13936,178,2,4184.39
13937,170,1,1423.44
13938,36,1,790.88
13939,24,3,9264.45
13940,13,5,10167.630000000001
13946,80,3,5115.68
13947,27,2,9025.62
13948,361,1,514.6
13950,12,4,3169.86
13951,177,4,5500.99
13954,2,2,1358.69
13956,6,5,5653.57
13957,197,1,421.3
13959,80,3,4247.2
13960,22,2,1691.48
13962,22,2,1065.54
13963,233,5,5350.48
13967,146,1,513.18
13971,19,8,20567.21
13972,71,3,7422.17
13973,288,1,1327.31
13974,50,1,2726.87
13975,32,6,19076.79
13976,207,1,1945.26
13977,267,1,1712.55
13978,15,2,3337.28
13979,74,1,6698.66
13980,61,1,1968.0600000000002
13982,40,4,13499.4
13984,27,5,7904.620000000001
13986,18,1,4735.759999999999
13989,66,2,14169.75
13990,214,2,2409.04
13991,13,6,9079.12
13992,31,2,772.66
13993,43,9,12568.539999999999
13994,4,6,11664.44
13995,16,6,8436.83
14000,141,4,14206.01
14001,46,3,9352.28
14002,135,3,9544.43
14005,10,6,23383.99
14006,116,4,6434.95
14009,199,3,4271.24
14012,278,1,1977.2399999999998
14013,111,3,4973.74
14014,78,1,11547.220000000001
14015,53,1,4815.06
14016,162,4,26119.899999999998
14018,110,1,55.599999999999994
14019,47,3,12087.06
14020,17,2,4074.1099999999997
14021,156,3,2615.32
14022,226,1,5442.76
14023,8,2,3072.97
14024,122,2,1625.5
14025,267,1,14.09
14027,61,1,742.96
14029,64,2,2508.62
14030,19,8,17560.23
14032,3,11,22796.67
14034,23,3,4969.719999999999
14035,29,5,8999.03
14036,285,1,3266.67
14037,177,2,610.31
14038,79,3,9013.02
14039,34,2,1834.58
14041,267,1,1108.37
14042,158,1,536.73
14044,27,4,3564.86
14045,110,4,7183.66
14046,285,1,4696.57
14047,9,5,4384.150000000001
14048,306,1,3372.11
14050,32,2,7428.4
14052,20,1,1047.99
14053,125,2,2470.75
14054,66,1,431.7
14055,107,2,2973.58
14059,267,1,1500.04
14064,30,5,19525.09
14066,18,2,1009.27
14067,64,2,4065.6
14068,321,1,1020.65
14070,360,1,286.91999999999996
14071,4,8,10490.78
14072,93,1,100.2
14073,33,1,1487.3400000000001
14075,5,3,7542.58
14076,130,1,919.7099999999999
14077,41,5,3228.79
14078,102,6,4253.02
14079,125,1,3469.39
14080,33,2,1791.61
14081,303,2,7012.3
14082,58,3,7380.01
14083,5,10,7254.12
14084,32,1,48.53
14087,3,1,1693.75
14089,57,1,1526.04
14090,325,1,816.48
14093,13,1,2707.52
14097,51,2,4201.71
14098,37,1,1210.81
14099,17,11,24958.73
14100,138,1,842.4499999999999
14102,6,5,7508.46
14104,155,2,870.83
14105,240,1,9497.01
14107,52,7,20435.76
14108,31,2,4517.87
14109,73,1,1049.7
14111,15,4,3951.41
14112,23,7,16971.41
14113,4,4,8344.48
14114,274,2,1431.34
14115,193,1,4686.71
14116,20,5,8663.42
14117,144,1,830.1599999999999
14119,57,1,8343.07
14121,4,4,18803.6
14124,85,1,17016.46
14125,11,3,17835.65
14126,8,3,3074.67
14127,123,4,3781.58
14128,61,2,6364.96
14129,2,5,6714.0
14130,320,1,3114.67
14133,130,3,4187.44
14137,319,1,164.07999999999998
14138,2,2,5978.09
14139,47,1,5653.62
14140,4,2,7784.54
14141,3,4,4112.4
14143,134,1,426.12
14145,47,4,7905.120000000001
14147,79,2,1602.28
14148,8,2,1020.51
14149,17,2,9331.08
14152,76,2,7862.0
14154,240,2,6144.86
14155,267,1,328.9
14157,20,2,3213.06
14158,41,1,8275.56
14160,285,1,41.0
14161,216,3,5633.21
14162,174,2,1752.01
14163,88,4,11430.58
14164,71,3,11711.539999999999
14165,276,1,666.62
14167,40,4,2083.7999999999997
14168,256,1,907.25
14171,99,1,2084.49
14173,11,4,1441.76
14174,34,1,1088.92
14175,60,3,18830.13
14176,43,6,2854.14
14177,87,4,2653.89
14178,9,7,14537.95
14179,41,2,3911.76
14181,247,1,84.64
14184,67,1,1766.0
14185,332,1,264.1
14186,339,1,59.39
14188,31,7,9871.91
14193,68,3,12182.42
14195,120,3,13899.56
14196,107,1,1799.04
14198,19,4,3691.02
14199,219,1,476.96
14200,309,1,1371.41
14201,61,7,6752.7
14202,296,1,1060.34
14204,3,1,445.68
14205,17,3,3479.7599999999998
14206,240,2,4505.47
14208,95,1,1323.8999999999999
14209,11,7,17423.67
14210,106,6,9314.89
14211,54,9,13859.67
14212,90,1,11732.72
14214,31,7,14696.08
14215,12,6,12958.92
14216,4,4,5248.0
14218,43,1,1689.66
14219,5,1,564.72
14220,248,3,3449.67
14221,43,9,25920.42
14222,178,1,6616.25
14223,93,3,7011.7
14224,92,5,6027.099999999999
14226,29,5,15555.88
14227,27,10,18533.82
14229,52,3,7838.16
14231,184,3,4652.71
14232,43,6,25683.38
14233,50,4,8409.51
14234,23,5,17436.04
14235,76,5,20930.22
14236,81,3,3925.52
14237,309,2,8650.66
14238,327,1,1288.33
14240,31,2,5196.67
14241,184,1,1715.1
14242,235,2,1425.13
14243,9,11,18738.8
14245,220,2,11678.2
14246,111,3,9631.6
14247,279,1,621.84
14248,319,1,1355.5
14249,239,1,46.529999999999994
14250,8,3,11971.93
14251,2,5,16311.6
14253,176,1,42.67
14255,339,1,6056.75
14256,261,2,5235.91
14257,57,6,23985.3
14259,142,1,819.92
14261,51,2,4976.54
14262,9,8,17658.899999999998
14264,155,2,1059.74
14265,110,3,3941.16
14267,163,3,6986.22
14270,37,2,2537.47
14271,226,1,1017.0999999999999
14272,74,2,6466.18
14273,52,4,2474.77
14276,99,4,12088.38
14277,16,3,18854.5
14280,197,1,670.33
14284,31,2,2260.37
14285,22,5,8901.89
14287,9,3,2577.51
14288,214,1,2364.3
14289,9,6,3789.48
14290,12,5,11028.26
14292,8,9,17931.26
14293,4,4,6579.12
14295,41,1,1031.16
14297,18,4,7641.87
14299,9,10,25087.2
14300,19,2,830.16
14301,118,1,6868.08
14304,223,1,1817.6
14305,54,4,18146.22
14306,52,2,13040.04
14307,89,6,23794.13
14309,9,9,17912.71
14311,243,1,1814.3
14312,47,6,11767.539999999999
14314,107,1,3156.88
14315,45,6,10705.71
14316,284,1,242.03
14317,65,1,2829.64
14320,207,2,3820.99
14323,115,3,4232.45
14326,243,1,1244.09
14327,164,1,1743.96
14331,125,2,2937.63
14332,16,4,5692.03
14333,68,1,1020.02
14334,17,8,19726.59
14335,17,2,4047.7799999999997
14336,17,4,16265.33
14338,162,2,4036.59
14339,243,1,2039.02
14340,165,2,1229.6
14341,46,8,14396.99
14342,22,4,4241.74
14344,128,8,5801.21
14345,39,1,624.1700000000001
14346,121,2,6900.599999999999
14348,261,1,2295.35
14349,11,1,551.21
14350,275,1,2165.73
14352,158,4,6619.79
14353,216,1,748.9
14354,6,2,1755.3
14356,36,3,14852.92
14357,44,1,1693.95
14359,20,3,4737.4
14360,32,4,13354.98
14362,23,1,1067.58
14364,109,8,18538.81
14368,320,1,527.88
14369,8,1,117.61
14371,296,1,451.52
14373,359,1,252.7
14375,186,1,2127.34
14377,192,2,2877.1099999999997
14379,45,2,3337.2599999999998
14381,53,1,1692.1799999999998
14382,27,1,13043.199999999999
14383,39,4,9608.97
14385,10,4,1180.99
14386,297,1,699.4
14387,33,3,9514.61
14389,66,2,6474.26
14390,11,10,22749.14
14393,219,1,202.88
14395,3,9,19340.82
14396,66,2,2768.99
14400,150,2,6073.139999999999
14403,131,4,6831.84
14404,34,6,8289.83
14406,120,1,826.0
14407,108,5,16316.36
14408,11,7,18183.84
14409,72,6,13369.1
14410,93,9,6913.7699999999995
14411,74,2,8554.16
14412,43,3,8985.25
14413,363,1,798.55
14416,23,2,3719.14
14419,11,6,5354.55
14420,100,1,3820.58
14421,58,3,24639.89
14423,219,1,1501.44
14424,18,2,867.12
14427,51,3,3676.9
14428,8,5,5095.17
14431,303,1,1814.42
14432,10,6,22043.93
14434,22,6,5179.360000000001
14435,2,1,12.38
14436,99,1,1413.42
14438,295,2,680.8399999999999
14439,320,1,8118.66
14440,9,5,7362.74
14441,1,4,6326.4800000000005
14442,205,2,6569.88
14443,54,4,11009.59
14446,1,4,9076.92
14447,19,5,6327.98
14448,10,2,804.9
14449,19,4,8293.35
14450,181,3,2928.13
14451,61,2,4116.1
14452,11,2,1019.33
14453,191,2,16461.45
14457,311,1,1018.3599999999999
14459,156,1,9067.619999999999
14460,111,3,9476.16
14461,81,5,17520.66
14462,67,11,11802.71
14463,99,3,2352.1400000000003
14465,247,3,5057.24
14466,30,7,12639.72
14467,18,4,3439.71
14470,12,2,2097.9
14472,104,8,13532.08
14473,61,3,1366.39
14474,47,1,1996.3
14475,72,3,4916.43
14476,258,1,1325.1799999999998
14477,20,5,21015.2
14479,254,2,1523.26
14480,12,1,883.07
14481,165,2,5664.59
14482,19,7,16490.74
14483,282,1,1134.6599999999999
14484,51,1,2298.04
14485,39,1,865.6999999999999
14487,27,6,8417.92
14488,68,1,8601.32
14489,208,1,2690.2599999999998
14491,176,2,1774.02
14492,326,1,113.44999999999999
14493,8,5,12887.71
14494,26,2,1352.92
14495,51,3,1204.04
14496,155,4,3191.35
14497,310,1,2895.85
14498,1,6,17455.59
14499,27,3,5762.53
14500,89,3,1565.04
14501,184,2,1907.6
14502,20,11,17492.65
14503,4,6,20398.81
14504,48,4,3846.7400000000002
14506,18,6,9233.9
14507,24,6,7367.0599999999995
14508,23,2,1590.71
14511,12,7,13011.81
14512,11,3,10362.33
14513,101,3,4167.67
14514,62,4,6826.5199999999995
14515,18,6,12433.61
14517,34,2,1271.3799999999999
14518,65,1,3027.32
14520,2,2,930.04
14522,25,4,6379.969999999999
14523,109,1,2820.2200000000003
14524,32,9,8591.94
14528,38,1,3222.7
14529,61,3,3917.98
14530,26,7,17712.62
14532,237,4,3867.23
14535,61,3,21512.87
14536,260,2,850.28
14537,58,2,1986.8999999999999
14538,65,2,1986.42
14539,16,3,2977.89
14540,10,3,4412.94
14541,59,9,9910.36
14542,186,2,1806.82
14544,25,3,18074.649999999998
14545,207,1,901.83
14546,6,5,14341.74
14547,4,8,25625.87
14548,151,2,3292.16
14549,312,1,1629.32
14550,11,2,3620.44
14551,19,4,23798.21
14552,152,2,2599.88
14553,20,6,13193.279999999999
14554,11,4,15035.91
14555,58,3,1594.28
14557,86,1,6035.36
14561,76,3,11500.85
14565,96,4,18117.08
14566,111,1,4832.0
14567,57,2,5790.8
14569,2,1,496.36
14570,281,2,1169.82
14572,4,7,17165.68
14573,180,9,7105.93
14577,13,5,7084.59
14578,4,1,1484.8500000000001
14580,40,1,2201.7999999999997
14581,17,1,1342.48
14582,41,1,864.99
14583,6,5,7667.05
14584,170,4,4963.63
14586,277,1,4794.0
14587,19,9,8908.31
14591,16,4,8610.36
14592,36,3,4743.32
14593,22,3,3837.9
14594,8,2,2016.96
14595,20,6,11747.67
14597,12,2,4302.28
14598,45,2,5391.09
14600,306,1,1684.19
14601,11,2,4955.94
14603,275,1,4776.0
14608,5,4,5412.57
14614,163,1,16523.57
14616,243,3,1481.92
14618,10,3,2361.3599999999997
14619,246,1,1962.04
14620,206,2,2616.37
14621,2,5,9385.81
14622,185,1,1639.26
14623,33,5,4774.57
14624,58,2,1832.4399999999998
14625,197,2,4290.02
14626,24,4,15630.369999999999
14628,92,2,3476.57
14629,5,2,3828.16
14631,51,4,13412.39
14632,263,1,1040.18
14633,40,2,2096.27
14636,37,2,2972.36
14638,51,1,2155.98
14639,53,6,17725.94
14640,25,6,11179.0
14641,22,1,970.14
14642,59,1,877.76
14643,171,2,8210.24
14644,68,2,3495.4
14645,157,4,10895.68
14647,202,1,1174.51
14649,5,4,9896.07
14650,355,1,939.29
14651,68,2,4185.5
14652,53,2,3513.27
14653,2,7,9614.73
14655,9,5,11411.54
14656,170,3,2834.86
14657,18,4,5645.33
14658,6,2,460.96
14659,9,9,13524.01
14660,87,2,2629.48
14661,27,1,469.35999999999996
14662,29,4,6623.8
14664,20,2,5319.07
14665,61,5,8795.76
14666,25,1,1773.02
14668,80,2,5954.5
14669,242,3,9146.49
14670,281,2,3732.13
14672,235,2,5437.74
14673,4,5,10324.539999999999
14674,253,1,80.68
14675,17,1,2171.42
14677,214,1,1490.59
14678,362,1,401.49
14681,72,4,1784.72
14682,188,2,873.5999999999999
14683,162,1,839.99
14684,26,6,10774.26
14687,107,1,5461.24
14689,209,1,858.68
14690,45,2,2075.45
14691,31,5,8869.15
14692,138,4,3322.16
14693,265,1,525.72
14694,10,1,3509.6200000000003
14696,5,7,17629.03
14697,219,2,2048.58
14698,2,5,6553.56
14699,215,1,901.01
14700,33,4,15229.07
14701,11,9,10369.53
14703,15,1,1166.3700000000001
14704,20,8,19557.86
14705,199,1,604.0
14708,3,3,6227.33
14710,15,4,4220.91
14711,11,11,12174.97
14712,30,3,4168.5199999999995
14713,10,11,17161.36
14714,25,1,2511.35
14715,25,4,6204.03
14716,44,2,5363.13
14718,354,1,3678.5299999999997
14719,2,6,13542.27
14720,6,3,2363.45
14722,148,2,5870.9
14723,11,7,7056.96
14725,25,1,6699.42
14727,275,1,910.72
14730,2,9,11964.02
14731,48,3,2959.71
14732,9,8,15954.33
14737,4,4,7991.97
14738,43,8,10949.65
14740,198,3,9017.1
14741,12,6,9267.58
14744,17,7,4801.26
14745,113,5,10737.89
14747,250,1,1197.23
14751,10,2,928.72
14752,44,1,3064.96
14753,88,1,2313.07
14754,45,3,12346.15
14756,16,2,3066.0
14757,46,2,1997.46
14758,145,4,5815.34
14759,5,3,5406.51
14760,298,1,501.36
14761,59,2,1471.7
14762,264,1,3624.2599999999998
14764,47,1,2232.72
14765,30,3,1644.08
14766,9,6,15056.72
14768,18,3,2504.35
14770,233,3,6797.97
14771,290,1,1085.04
14772,113,1,983.3199999999999
14773,143,1,10429.4
14774,159,1,10258.6
14775,59,3,13070.64
14777,142,1,778.64
14778,128,2,3691.54
14779,281,3,1256.67
14780,55,3,3442.3
14782,320,1,1373.3799999999999
14784,27,2,2726.44
14785,11,2,537.36
14788,8,2,3757.48
14789,29,1,1391.6
14790,17,4,6867.64
14792,64,1,26.86
14793,22,1,1042.78
14794,3,7,6267.63
14795,167,1,309.01
14798,53,3,1715.3999999999999
14799,52,1,1658.42
14801,62,1,1967.33
14803,163,3,4658.68
14804,9,1,747.79
14805,16,4,1443.8700000000001
14806,76,1,3580.5
14808,40,8,24965.17
14813,179,3,5499.71
14815,37,2,8423.62
14816,198,1,1242.15
14817,151,3,15127.89
14818,74,4,10564.99
14819,65,2,1346.98
14820,22,5,3133.4
14821,178,2,813.62
14823,181,3,1231.37
14824,11,4,4354.1
14828,197,3,24460.7
14829,30,4,5162.87
14830,54,1,1739.43
14834,18,6,8455.36
14836,11,2,469.25
14837,90,4,16113.58
14840,24,2,18594.28
14841,54,6,19911.74
14842,44,4,14634.68
14844,64,4,18847.99
14847,94,3,11491.38
14850,312,1,3336.67
14851,24,2,3855.07
14852,59,6,20390.02
14853,25,2,1328.0
14854,79,7,21402.8
14855,120,2,3099.92
14856,37,3,8307.07
14857,60,4,17229.45
14859,13,4,6047.46
14860,20,1,2552.6
14861,53,1,1328.16
14862,26,2,8594.92
14863,30,1,1626.48
14865,8,2,1108.8
14867,186,3,4089.62
14868,4,8,15651.9
14869,9,2,5172.5199999999995
14870,262,1,1555.06
14871,4,4,1855.63
14873,211,1,2254.56
14875,108,2,7158.62
14878,13,10,10504.55
14880,78,3,4423.139999999999
14881,20,1,3500.6
14882,27,2,2223.56
14883,19,8,11107.789999999999
14885,132,1,8205.32
14886,253,1,1775.06
14887,80,1,7139.0
14888,208,1,1659.82
14889,337,1,1001.88
14890,254,1,651.48
14891,149,2,5141.04
14893,10,2,5159.59
14894,86,1,3388.12
14896,205,2,3340.21
14897,8,5,11719.289999999999
14898,24,7,11462.949999999999
14901,12,9,7671.089999999999
14902,26,1,2513.54
14903,22,5,18481.68
14904,3,2,15133.16
14905,158,2,3510.66
14907,4,8,18872.61
14908,75,1,1637.56
14910,3,4,2348.79
14912,17,2,8311.52
14913,36,4,18999.28
14915,92,2,1463.04
14916,71,4,11749.7
14918,116,2,8568.52
14920,213,3,6117.34
14921,31,2,11116.029999999999
14922,299,1,21.17
14923,51,1,5052.08
14924,246,1,973.75
14929,33,1,1623.34
14931,5,5,4651.5
14932,178,2,7029.78
14934,82,2,12199.35
14935,298,1,11415.0
14937,57,3,6622.44
14938,141,2,9724.289999999999
14946,15,1,159.28
14947,73,2,2106.98
14948,24,6,8026.57
14949,267,1,269.8
14950,20,1,1774.34
14951,80,1,3507.16
14953,26,1,2545.25
14954,13,1,812.88
14955,352,1,2369.1
14957,254,1,408.41
14958,148,3,1807.74
14959,65,4,5776.139999999999
14960,9,2,1477.7900000000002
14962,271,1,580.91
14963,10,5,11807.65
14964,248,2,6692.19
14965,97,2,4220.37
14966,15,1,1108.01
14967,50,2,5937.01
14968,31,1,1415.8700000000001
14970,69,4,4161.9800000000005
14971,36,3,7675.0
14972,129,1,404.63
14973,108,4,5513.21
14974,38,1,458.99
14975,58,1,4181.71
14976,58,6,3172.19
14977,332,1,17352.73
14978,73,5,7228.8099999999995
14979,352,1,84.5
14981,247,1,919.9
14984,20,2,801.86
14985,199,2,2886.06
14986,352,1,87.36
14987,16,2,1219.2
14988,212,1,1776.07
14991,352,1,265.15999999999997
14993,141,1,82.08
14995,39,3,7010.7699999999995
14997,47,5,18413.82
14998,171,3,4314.75
14999,141,1,535.55
15000,48,1,2737.0099999999998
15002,116,4,10085.52
15004,148,1,7626.0599999999995
15006,52,2,3449.39
15007,160,2,4961.87
15009,13,3,6763.12
15010,36,2,3319.42
15012,54,2,2702.97
15014,44,2,1785.04
15016,173,1,953.31
15017,34,1,774.4
15018,39,4,2501.96
15019,267,1,1766.16
15021,9,10,9595.97
15022,12,4,5373.23
15024,10,10,10034.26
15025,34,1,2238.64
15026,81,3,2775.93
15027,31,5,6730.349999999999
15028,9,4,4978.06
15030,72,2,4344.84
15031,5,4,4439.3099999999995
15032,257,3,21334.49
15033,5,10,18687.4
15035,90,1,2769.86
15036,73,3,3611.91
15038,59,6,2875.7
15040,249,1,63.900000000000006
15041,158,2,1509.75
15042,200,1,446.76
15043,32,1,2416.0
15045,152,2,1922.48
15047,270,1,2627.74
15048,66,4,2346.47
15049,274,1,769.79
15050,26,3,14211.519999999999
15051,24,3,11317.43
15052,320,1,1022.61
15053,5,3,8200.88
15054,13,2,1837.43
15057,276,2,8372.9
15058,26,11,12574.4
15059,41,9,7561.23
15060,9,4,1721.25
15062,72,4,7908.92
15063,214,1,954.02
15066,54,1,4165.02
15067,79,3,11325.12
15068,47,2,4297.8
15069,180,1,6345.02
15071,94,2,3763.64
15073,10,3,5659.44
15074,106,1,4868.08
15075,78,1,5373.61
15076,101,2,6767.5
15079,213,4,4546.69
15081,23,6,3777.25
15083,257,1,480.02
15085,298,1,15.84
15087,64,3,22398.65
15088,22,3,6020.17
15089,11,6,15587.539999999999
15090,309,1,2463.18
15091,68,1,3977.04
15092,216,2,1852.82
15095,104,4,12464.1
15096,43,1,1454.75
15097,5,1,1048.88
15098,183,3,1812.85
15099,85,1,3936.25
15100,334,3,1717.6
15101,9,2,1910.97
15103,32,2,4092.73
15104,197,3,19389.17
15105,19,7,14768.039999999999
15106,18,5,12643.539999999999
15107,312,6,2069.78
15108,142,3,6210.23
15109,246,2,1894.79
15110,24,4,3541.96
15111,30,3,8883.16
15112,177,1,8401.53
15113,10,3,22391.65
15115,19,1,1957.74
15116,18,4,8027.57
15117,15,5,17424.99
15118,135,2,15016.33
15119,246,1,1174.91
15120,134,1,3401.84
15121,51,2,2508.64
15122,115,3,8586.14
15123,8,2,10496.86
15124,23,2,2577.63
15127,66,1,2989.12
15128,61,4,15272.4
15130,170,1,2357.44
15132,19,5,7841.94
15133,128,3,7976.7
15134,15,8,10074.29
15135,240,1,583.21
15136,3,4,7528.04
15137,44,1,4694.5199999999995
15138,32,1,10110.26
15139,240,2,2315.0
15140,53,8,18556.36
15142,47,1,4058.58
15143,226,1,1803.19
15145,5,4,8224.89
15146,165,2,16458.25
15147,241,1,4390.16
15148,11,1,1253.17
15149,134,1,1845.58
15153,32,1,2366.92
15154,76,1,1166.79
15156,2,3,5097.0599999999995
15157,4,3,24102.21
15158,46,1,2136.06
15160,358,1,1023.0
15162,157,1,8060.65
15163,19,2,2218.58
15164,69,4,13302.42
15167,321,1,822.84
15168,26,1,642.3199999999999
15171,332,1,4293.9
15172,9,5,15752.32
15174,323,1,1506.16
15175,72,1,4882.96
15177,32,1,13012.02
15178,261,1,287.79999999999995
15179,19,5,21818.1
15181,67,3,6283.24
15182,155,2,2861.24
15184,30,3,10525.24
15185,71,1,7143.72
15186,15,3,7480.56
15188,184,1,2347.6800000000003
15192,120,3,10480.82
15193,61,1,1987.92
15195,3,1,8690.76
15197,11,3,4634.17
15198,93,2,1428.3999999999999
15199,60,4,5358.4400000000005
15201,88,5,13544.619999999999
15203,26,7,17326.65
15204,358,1,2909.1
15205,86,2,4422.57
15206,11,4,1610.46
15207,239,1,1044.45
15208,2,6,5413.25
15210,226,1,2676.4700000000003
15211,61,3,4158.78
15212,242,1,473.32
15213,319,2,2761.62
15214,2,8,13178.1
15215,47,4,4921.51
15216,88,1,266.59999999999997
15217,75,2,129.25
15219,177,2,825.8199999999999
15220,52,7,16415.77
15221,92,2,6952.0599999999995
15222,319,1,4523.6
15223,226,3,2980.65
15224,359,2,1888.1599999999999
15225,235,1,2736.22
15226,311,1,885.92
15227,37,5,8937.34
15228,67,4,26583.52
15229,176,2,7507.099999999999
15230,240,3,4217.35
15232,114,2,7534.719999999999
15234,277,1,2149.38
15236,299,1,3086.24
15237,2,5,12151.18
15238,30,4,8374.08
15239,11,2,5695.99
15240,45,5,15602.25
15241,67,8,20168.3
15243,75,2,2326.7599999999998
15244,66,2,4742.46
15245,135,3,19894.14
15246,239,2,2998.76
15247,123,1,2004.7199999999998
15250,192,1,30.970000000000002
15252,37,2,6109.23
15253,17,6,8574.07
15254,128,1,2940.7400000000002
15255,67,1,5924.73
15256,149,1,604.85
15257,284,1,796.53
15258,169,2,2093.98
15260,101,7,10746.69
15261,136,1,3028.6
15262,324,1,931.56
15263,107,2,1116.5
15264,65,1,3057.85
15265,152,2,7816.08
15266,339,1,306.77
15267,23,6,11728.18
15269,24,1,685.44
15270,16,7,15379.19
15272,58,2,3901.15
15274,5,2,5812.22
15275,38,1,5672.74
15276,67,1,745.08
15277,47,1,2363.52
15278,192,1,4638.9
15279,355,1,2235.12
15280,173,1,1694.23
15281,59,9,14557.6
15286,50,1,810.31
15287,23,2,4877.45
15288,44,5,10063.92
15289,30,3,11295.24
15292,202,1,657.55
15296,51,7,21813.63
15297,11,4,7259.97
15300,65,1,3382.2599999999998
15303,291,1,3070.27
15304,61,8,1777.54
15306,65,4,14416.4
15307,96,1,589.59
15308,275,1,2112.0
15312,76,4,6236.099999999999
15313,43,2,254.39
15314,200,2,3556.65
15315,65,2,9419.7
15316,327,1,597.0
15317,284,1,1104.71
15318,4,1,4119.78
15319,165,2,2621.93
15320,45,1,3615.85
15321,71,3,14742.11
15322,86,1,4960.46
15323,191,3,4832.17
15325,104,1,2533.37
15326,191,2,4912.97
15327,53,1,1403.22
15329,26,4,22564.44
15330,33,2,14182.56
15333,209,1,4578.96
15334,157,3,3137.99
15335,54,1,977.9
15337,165,1,60.62
15339,67,3,7522.41
15341,81,1,9183.32
15342,130,1,3316.75
15343,88,1,1234.52
15344,1,4,11919.04
15345,46,1,1233.46
15346,99,2,1812.98
15348,73,1,957.36
15349,159,2,3765.6
15351,13,7,8578.34
15353,255,2,4284.09
15355,30,2,630.8100000000001
15356,32,10,17913.29
15360,40,1,2724.32
15361,11,2,3904.49
15364,96,3,6181.92
15365,26,7,12625.24
15366,76,2,6982.33
15367,58,4,12283.48
15368,22,1,2814.7000000000003
15370,41,7,10829.86
15373,9,11,7025.1
15374,68,2,9066.039999999999
15375,338,1,23.32
15376,41,3,7525.29
15379,170,7,26026.35
15380,9,5,4996.42
15381,214,2,2364.69
15384,170,3,6684.13
15385,41,1,1974.78
15386,187,1,4975.66
15387,317,1,61.34
15388,271,1,1046.04
15389,173,2,8446.8
15392,5,4,13495.12
15393,17,2,1496.12
15394,10,4,8628.16
15395,326,1,284.37
15396,113,1,1545.82
15397,290,1,301.35
15398,17,2,6611.06
15399,2,4,6887.04
15400,93,6,4437.12
15402,149,2,7747.15
15405,190,1,2336.32
15406,32,2,2853.31
15407,34,4,6694.38
15408,265,1,1360.31
15410,85,8,15836.22
15411,27,4,6657.51
15412,172,1,1302.18
15414,10,3,4182.88
15415,314,1,6064.32
15416,65,4,25011.6
15417,86,2,8807.72
15419,25,1,2496.96
15420,128,1,6711.0
15421,59,4,5358.08
15422,324,2,489.56
15423,39,1,1062.0
15424,255,3,18217.88
15426,20,5,8162.52
15427,34,3,11365.15
15428,16,1,631.38
15429,27,2,4302.57
15431,2,1,86.66000000000001
15432,24,1,841.53
15433,145,3,12660.61
15434,9,6,21948.78
15435,23,1,706.41
15436,13,3,6346.74
15437,263,1,1008.6999999999999
15438,132,1,765.22
15439,2,1,11119.980000000001
15440,55,3,2375.15
15442,249,1,1838.4
15443,2,7,16661.53
15444,10,2,5993.63
15445,265,1,710.76
15447,331,1,1030.28
15448,305,2,10704.57
15449,27,3,9140.09
15450,31,2,5580.77
15452,30,3,3351.56
15453,2,7,9593.64
15454,363,1,1064.92
15455,97,1,675.69
15456,284,3,6910.56
15457,263,1,1500.35
15458,26,1,1764.6
15460,355,1,1304.1
15462,95,3,2003.2399999999998
15463,30,1,1215.5
15464,339,1,4601.44
15466,86,1,2864.19
15467,10,3,3348.4
15468,52,2,2067.71
15469,51,2,2058.17
15470,61,1,48.519999999999996
15471,3,1,1578.26
15472,114,1,2903.89
15473,15,7,7633.759999999999
15474,236,2,6661.17
15478,41,2,6621.98
15480,117,2,4808.78
15481,356,1,114.47999999999999
15483,162,4,3213.19
15485,31,3,15364.58
15488,93,1,816.48
15489,23,3,7393.839999999999
15491,96,6,20021.84
15492,1,3,18230.28
15493,33,6,8795.14
15494,22,2,12987.21
15497,18,3,8779.07
15500,9,4,6023.38
15501,155,1,132.81
15503,363,1,862.0
15504,82,1,392.37
15506,23,3,8902.9
15507,172,1,2115.38
15508,190,7,11234.68
15509,136,1,62.36
15510,331,1,1321.24
15511,12,5,3311.2
15512,156,2,820.9399999999999
15514,13,11,23621.43
15515,136,1,5743.3
15516,45,5,9041.289999999999
15517,234,1,3276.97
15518,65,8,14388.619999999999
15520,2,2,1958.98
15521,41,9,22228.16
15522,33,3,6179.47
15523,85,2,7703.21
15524,25,1,492.0
15525,3,5,7649.36
15526,34,2,398.15999999999997
15527,19,8,11209.6
15528,255,1,1471.12
15530,22,4,11148.869999999999
15531,9,2,11515.8
15532,26,4,6851.45
15533,20,3,3777.35
15534,88,2,7545.94
15535,174,4,1899.18
15537,164,2,542.68
15539,8,1,2592.05
15540,12,1,1238.0
15541,115,2,776.64
15543,289,1,1012.54
15545,55,2,1956.6399999999999
